sku,name,barcode,shortDescription,costPrice,mainPrice,wholesalePrice,wholesaleBoxQuantity,categoryId,brandId,stock_showroom,stock_الصالة
5155778,PW3005-bonewhite-04 ??? ????? ?????? ?????,,,20.15,34,31,1,??? PW,ritver,2,0
187064,PW3005-GARDENIA-01 ??? ????? ?????? ???,,,5.7,9,8,1,??? PW,ritver,4,0
34125,PW3005-GARDENIA-01 ??? ????? ?????? ?????,,,20.15,34,31,1,??? PW,ritver,6,0
675433026,PW3005-IVORY-03 ??? ????? ?????? ???,,,5.7,9,8,1,??? PW,ritver,4,0
PROD20251226d05ba16c,PW3005-IVORY-03 ??? ????? ?????? ?????,,,20.15,34,31,1,??? PW,ritver,4,0
6698699,PW3005-LIGHT IVORY-02 ??? ????? ?????? ???,,,5.7,9,8,1,??? PW,ritver,4,0
95299063,PW3005-LIGHT IVORY-02 ??? ????? ?????? ?????,,,20.15,34,31,1,??? PW,ritver,2,0
722710,PW3005-offwhite-05 ??? ????? ?????? ???,,,5.7,9,8,1,??? PW,ritver,4,0
9811266,PW3005-offwhite-05 ??? ????? ?????? ?????,,,20.15,34,31,1,??? PW,ritver,3,0
62242,PW3105 ??? ??? ?????? ???? ???,,,5.7,9,8,1,??? PW,ritver,4,0
4231867,PW3105 ??? ??? ?????? ???? ?????,,,27,45,42,1,??? PW,ritver,10,0
31295,PW3105-702 ??? ????? ???? ?????,,,7.5,12,11,1,??? PW,ritver,8,0
338130,PW3105-BONEWHITE-04 ??? ??? ?????? ???,,,7.5,12,11,1,??? PW,ritver,1,0
595402273,PW3105-GARDENIA-01 ??? ??? ?????? ???,,,27,45,42,1,??? PW,ritver,1,0
30444538,PW3105-GARDENIA-01 ??? ??? ?????? ?????,,,27,45,42,1,??? PW,ritver,2,0
961431,PW3105-IVORY-03 ??? ??? ?????? ???,,,7.5,12,11,1,??? PW,ritver,15,0
135307,PW3105-IVORY-03 ??? ??? ?????? ?????,,,27,45,42,1,??? PW,ritver,5,0
74115,PW3105-LIGHT BEIGE-06 ??? ??? ?????? ???,,,7.5,12,11,1,??? PW,ritver,2,0
31929,PW3105-LIGHT BEIGE-06 ??? ??? ?????? ?????,,,27,45,42,1,??? PW,ritver,1,0
49385,PW3105-LIGHTIVORY-02 ??? ??? ?????? ???,,,7.5,12,11,1,??? PW,ritver,4,0
7369678,PW3105-LIGHTIVORY-02 ??? ??? ?????? ?????,,,27,45,42,1,??? PW,ritver,6,0
76730,PW3105-OFFWHITE-05 ??? ??? ?????? ???,,,7.5,12,11,1,??? PW,ritver,2,0
413430,PW3105-OFFWHITE-05 ??? ??? ?????? ?????,,,27,45,42,1,??? PW,ritver,3,0
6890043,PW3205 ??? ?????? ????? ???? ???,,,7.5,12,11,1,??? PW,ritver,4,0
347886,PW3205 ??? ?????? ????? ???? ?????,,,37,60,52,1,??? PW,ritver,9,0
407138,PW3205-501 ??? ???? ?????,,,10,17,15,1,??? PW,ritver,8,0
